variant,age,sex,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047
migration_category,26,2,364173,383966.99199999997,385567.00600000005,384990.00600000005,374981.004,369082.0059999999,367635.00499999995,369988.007,380169.9929999999,380611.004,381093.9970000001,388129.9959999999,403192.0049999999,401253.996,404770.0040000001,409692.992,411035.0029999999,402585.00299999997,395815.99700000003,394855.0040000001,398286.9969999999,391068.997,384524.00200000004,381079.0030000001,377591.99499999994,369129.005
migration_category,27,1,364247,375711.00299999985,392945.00100000005,391967.994,395410.004,387649.007,382946.9969999999,387466.994,398408.998,409950.00099999993,410540.001,408012.99799999996,414279.99499999994,428491.999,426730.00800000015,430445.00399999996,436282.0040000001,436397.0000000001,428578.004,420201.0020000001,419509.992,424134.01300000004,415624.99799999996,409087.01100000006,406564.00200000004,401749.9949999999
migration_category,27,2,374196,380483.00299999997,397015.997,391758.0100000001,389575.99700000003,379512.006,374204.007,373431.009,376028.00100000005,386206.999,386647.003,387132.997,394169.00200000004,409230.996,407292.00600000005,410810.00299999997,415731.999,417073.99899999995,408624.99800000014,401858.996,400899.993,404330.999,397112.98900000006,390570.007,387126.99600000016,383641.004
migration_category,28,1,372730,379361.99700000003,387821.996,398694.99799999996,396230.98899999994,399621.99199999997,392406.00299999997,388323.9929999999,393062.996,404006.99899999995,415538.9969999999,416126.997,413604.99499999994,419872.002,434080.9910000001,432322.00100000005,436039.00099999993,441876.0060000001,441992.00599999994,434178.9969999999,425807.993,425119.0099999999,429744.005,421238.00099999993,414704.00200000004,412184.01000000007
migration_category,28,2,387653,390098.999,393371.997,403350.99399999995,396591.003,394361.0019999999,384823.005,380113.00200000004,379554.00100000005,382151.006,392328.00200000004,392767.994,393254.002,400288.998,415345.004,413406.00800000003,416923.99999999994,421844.99500000005,423185.99500000005,414741.999,407980.99399999995,407022.995,410453.99500000005,403238.997,396700.99199999997,393261.0020000001
migration_category,29,1,372891,387382.99100000004,391154.99799999996,393472.0030000001,402919.994,400409.996,404301.9909999999,397669.994,393799,398538.00100000005,409475.998,421000.00000000006,421589.00499999995,419071.001,425335.00700000004,439536.99799999996,437782.01399999997,441499.00099999993,447335.9910000001,447453.9980000001,439649.99600000016,431285.0140000001,430599,435224.999,426725.003,420196.99500000005
migration_category,29,2,390804,402651.00000000006,402276.9950000001,399379.99799999996,407944.00100000005,401137.0019999999,399394.0079999999,390408.99299999996,385901.00299999997,385344,387941.00500000006,398115.006,398554.995,399043.006,406076.00499999995,421124.002,419181.006,422702.009,427619.9999999999,428962,420523.001,413766.996,412813.00100000005,416244.002,409032.0019999999,402499.9879999999
migration_category,30,1,383766,386861.004,398624.001,396529.0049999999,397489.99899999995,406886.0019999999,404857.993,409296.99400000006,402866.9980000001,398999.9969999999,403736.99600000004,414669.996,426184.99899999995,426777.989,424263.00800000003,430523.99799999996,444717.995,442966.0080000001,446684,452520.997,452640.999,444843.999,436487.992,435805.0000000001,440430.996,431939.00399999996
migration_category,30,2,404450,404587.995,413835.0040000001,407749.00099999993,403555.00000000006,412071.006,405704.997,404469.994,395670.996,391168.9980000001,390614.9979999999,393210.99299999996,403380.99700000003,403824.999,404314.006,411342.994,426380.99999999994,424434.005,427956.0019999999,432870.997,434213.001,425778.99899999995,419032.98999999993,418084.0019999999,421512.995,414306.996
migration_category,31,1,389571,397065.99499999994,397573.001,403729.999,400346.01300000004,401266.005,411109.9940000001,409600.9989999999,414225.0020000001,407797.99999999994,403934.00899999996,408671.006,419597.00399999996,431104.99000000005,431701.009,429189.9969999999,435447.998,449633.003,447883.0029999999,451601.9970000001,457438.00299999985,457559.99799999996,449772.0090000001,441425.9970000001,440745.99399999995,445373.99100000004
